Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
99,99,94,93,,91,88,86,84,77,75,,,,,,,,,,,,,,,,,,,,,,,
99,99,94,93,,91,88,86,84,77,75,,,,,,,,,,,,,,,,,,,,,,,
99,99,94,93,,91,88,86,84,77,75,,,,,,,,,,,,,,,,,,,,,,,
,98,98,96,93,91,90,90,89,87,76,,,,,,,,,,,,,,,,,,,,,,,
,98,98,96,93,91,90,89,89,83,75,,,,,,,,,,,,,,,,,,,,,,,
98,98,96,94,92,89,86,80,71,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,98,98,97,95,92,88,86,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,96,95,94,94,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,95,93,89,89,83,75,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,97,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,97,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,83,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,83,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,83,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,96,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,72,94,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,94,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
